IRR (%),NPV ($),Equity Multiple,DSCR
19.2511213869198,3750164.263839174,2.0360148532541276,5.0900371331353185
15.647824331304449,2200550.569068039,1.8049255037936103,4.512313759484026
18.413101871271653,3448364.2141154353,2.00420319206664,5.0105079801666
18.625804458326755,3496929.338420336,2.005496791976682,5.013741979941705
15.945611336790266,2426330.119207998,1.8650421287715622,4.662605321928905
20.115098223969994,4183916.345910454,2.10901448479859,5.272536211996475
17.563596492069355,3067428.053277728,1.945401452353901,4.863503630884752
17.333000197686022,2935336.487195554,1.9204016154366914,4.801004038591729
16.48805266230877,2495697.4678138895,1.8395902877898096,4.598975719474525
18.413563724197314,3196174.7298272653,1.9238180583578903,4.809545145894726
19.48900336759689,3875596.5283470666,2.0591626194458703,5.147906548614676
16.76243152687473,2744460.586067182,1.904382523770917,4.760956309427293
19.282772895898503,3790508.4862084156,2.0451392382774247,5.112848095693562
17.693252311473053,2996741.1853656573,1.912088623137644,4.78022155784411
17.03585526634226,2778695.411642979,1.8938061399364818,4.734515349841205
17.249829358121804,2853700.232645978,1.89953791402691,4.748844785067275
20.969725963204322,4446839.017944856,2.1307760614520457,5.3269401536301135
17.48565686686352,3047837.581598215,1.945300752445889,4.8632518811147225
15.519985058258957,2226666.535959891,1.8298129177890488,4.574532294472622
20.12777159327941,4308447.954996836,2.143192509845215,5.357981274613037
17.95872319191094,3188554.3950683633,1.9558866387483247,4.889716596870811
20.297024443791713,4160044.0790557014,2.0908989397889703,5.227247349472426
20.24498084023454,4200113.086726359,2.1048329213897436,5.262082303474359
17.960876928440083,3301711.6145795155,1.9940387768134338,4.985096942033584
20.355509497579895,4217764.1885307105,2.1034229331248127,5.258557332812032
15.524001603107429,2253922.045460917,1.8415776224357978,4.603944056089494
18.151127265742637,3297280.8799055293,1.9755764645046003,4.938941161261501
16.84851604646207,2799461.443952185,1.9162577549856494,4.790644387464124
17.26223339488755,2912388.0098274387,1.9189102346068327,4.797275586517082
18.10008747785483,3127476.898930027,1.9254284891014866,4.813571222753717
19.113622553866527,3823012.3925675238,2.069288349266222,5.173220873165555
20.430530908400613,4352095.096488895,2.134040789145295,5.335101972863238
16.945197179358562,2776136.9328754786,1.8975750428138878,4.743937607034719
18.219401016757033,3308854.2470853673,1.976358115795615,4.9408952894890374
17.27946439230845,2844087.2969417367,1.8938008301360936,4.734502075340234
14.99330363450806,1980791.7971738707,1.788441666501032,4.47110416625258
17.87326916330796,3148491.440644604,1.9486846294716396,4.871711573679099
18.113146936828926,3373460.6719924742,2.0021354326803116,5.005338581700778
18.1425512467011,3224005.7401897516,1.95126072687176,4.8781518171794005
17.754257945517327,3037633.005555072,1.9224825177554008,4.806206294388502
15.949565323814664,2324471.723582375,1.8246627370256088,4.561656842564022
19.99070492153605,4264628.560867004,2.1410121019635917,5.352530254908979
15.161098982232657,2014674.4675123598,1.7819320120437474,4.454830030109369
16.51266295514633,2587299.748646699,1.8707049737956427,4.676762434489106
16.382668880860507,2468332.885880757,1.8372576675908499,4.593144168977124
22.47676776813914,5168005.508631227,2.2424819440044343,5.606204860011085
18.034030403585845,3151995.330455226,1.938197869502586,4.845494673756465
15.091252202856609,1953099.2373939436,1.7641056111230489,4.410264027807623
16.957195800405223,2777319.8695629686,1.8963842105979316,4.740960526494829
21.142849908575066,4619136.525467798,2.1702302045702657,5.425575511425665
20.257405496426383,4224333.5490236785,2.1104658578662647,5.276164644665661
15.494603498855074,2166712.7061643777,1.809534464696121,4.523836161740302
20.918401809675302,4522998.404254195,2.153384851854751,5.383462129636879
17.46034845428499,2874968.9955131887,1.8876627514302105,4.719156878575526
15.440407109051169,2150644.314909187,1.8063156851719655,4.5157892129299135
16.579821035343944,2626757.612226679,1.878298222050193,4.695745555125482
18.017578733884676,3036265.8406032277,1.8993196415913216,4.7482991039783045
17.545492402570794,3146511.60199186,1.9749006709346906,4.937251677336727
